year,total,15~19,20~24,25~29,30~34,35~39,40~44,45~49
1995,1.63 ,3.7 ,62.4 ,175.3 ,68.6 ,15.0 ,2.4 ,0.2 
2000,1.48 ,2.6 ,39.2 ,150.3 ,84.1 ,17.6 ,2.7 ,0.2 
2001,1.31 ,2.4 ,31.7 ,129.8 ,78.1 ,17.3 ,2.6 ,0.2 
2002,1.18 ,2.7 ,26.8 ,111.4 ,75.0 ,16.9 ,2.5 ,0.2 
2003,1.19 ,2.5 ,23.9 ,112.2 ,79.7 ,17.4 ,2.6 ,0.2 
2004,1.16 ,2.4 ,20.8 ,105.0 ,83.7 ,18.6 ,2.6 ,0.2 
2005,1.09 ,2.2 ,18.0 ,92.1 ,82.1 ,19.0 ,2.5 ,0.2 
2006,1.13 ,2.2 ,17.8 ,89.9 ,90.0 ,21.5 ,2.7 ,0.2 
2007,1.26 ,2.3 ,19.7 ,95.9 ,102.0 ,25.9 ,3.1 ,0.2 
2008,1.19 ,1.7 ,18.2 ,85.6 ,101.5 ,26.5 ,3.2 ,0.2 
2009,1.15 ,1.7 ,16.5 ,80.4 ,100.8 ,27.3 ,3.4 ,0.2 
2010,1.23 ,1.8 ,16.5 ,79.7 ,112.4 ,32.6 ,4.1 ,0.2 
2011,1.24 ,1.8 ,16.4 ,78.4 ,114.4 ,35.4 ,4.6 ,0.2 
2012,1.30 ,1.8 ,16.0 ,77.4 ,121.9 ,39.0 ,4.9 ,0.2 
2013,1.19 ,1.7 ,14.0 ,65.9 ,111.4 ,39.5 ,4.8 ,0.1 
2014,1.21 ,1.6 ,13.1 ,63.4 ,113.8 ,43.2 ,5.2 ,0.1 
2015,1.24 ,1.4 ,12.5 ,63.1 ,116.7 ,48.3 ,5.6 ,0.2 
2016,1.17 ,1.3 ,11.5 ,56.4 ,110.1 ,48.7 ,5.9 ,0.2 
2017,1.05 ,1.0 ,9.6 ,47.9 ,97.7 ,47.2 ,6.0 ,0.2 
2018,0.98 ,0.9 ,8.2 ,41.0 ,91.4 ,46.1 ,6.4 ,0.2 
2019,0.92 ,0.8 ,7.1 ,35.7 ,86.2 ,45.0 ,7.0 ,0.2 
2020,0.84 ,0.7 ,6.2 ,30.6 ,78.9 ,42.3 ,7.1 ,0.2 
2021,0.81 ,0.4 ,5.0 ,27.5 ,76.1 ,43.5 ,7.6 ,0.2 
2022,0.78 ,0.4 ,4.1 ,24.0 ,73.5 ,44.1 ,8.0 ,0.2 
2023,0.72 ,0.4 ,3.8 ,21.4 ,66.7 ,43.0 ,7.9 ,0.2 
