지 역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
전국,9.6,8.6,8.6,8.6,7.9,7,6.4,5.9,5.3,5.1,4.9,4.5
서울,9.3,8.4,8.4,8.4,7.7,6.7,6,5.6,5,4.8,4.5,4.2
부산,8.2,7.4,7.5,7.7,7.2,6.2,5.6,5,4.5,4.3,4.3,3.9
대구,8.6,7.8,7.8,7.9,7.4,6.5,5.9,5.4,4.6,4.5,4.3,4
인천,9.9,9,9,8.8,8.1,7,6.9,6.3,5.5,5.1,4.9,4.6
광주,9.9,8.7,8.7,8.5,7.9,6.9,6.3,5.8,5.1,5.5,5.2,4.3
대전,10.1,9.3,9.2,9.1,8.3,7.2,6.3,5.7,5.1,5.1,5.3,5
울산,10.7,9.9,10,10.1,9.4,8.1,7.1,6.6,5.8,5.5,4.9,4.6
세종,10.2,9.5,9.7,14.8,14.6,13.4,12.5,11.7,10,9.8,8.5,7.2
경기,10.5,9.3,9.2,9.2,8.4,7.4,6.9,6.4,5.9,5.7,5.6,5.1
강원,8.2,7.2,7,7.1,6.5,5.8,5.4,5.4,5.1,4.8,4.8,4.4
충북,9.8,8.8,8.5,8.6,8.1,7.2,6.7,5.9,5.4,5.1,4.7,4.8
충남,10.2,9.2,8.9,9,8.3,7.5,6.8,6.3,5.7,5.2,4.8,4.5
전북,8.7,7.8,7.7,7.6,6.8,6.1,5.5,4.9,4.5,4.2,4,3.8
전남,9,8.1,7.8,8,7.4,6.5,6,5.8,5.3,4.6,4.3,4.3
경북,9.2,8.3,8.2,8.3,7.7,6.7,6,5.5,4.9,4.6,4.3,4
경남,10.1,8.9,9,8.9,8.1,7.1,6.3,5.7,5,4.7,4.3,4
제주,10.4,9.1,9.3,9.2,8.7,7.8,7.3,6.8,6,5.6,5.3,4.8
