지 역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
서울,452120,446743,445586,467519,470686,549150,591674,662952,703270,881835,835729,818750
경기,259473,255530,262426,269465,272310,294701,306264,324727,375491,521652,476638,455019
인천,184668,184043,190937,194929,198010,214519,216005,228603,266703,347909,308603,298723
부산,188977,188041,191574,202023,210541,249408,245357,247379,279478,365494,341608,313367
대구,167472,181090,194323,232861,231638,259320,274983,288470,317056,380268,342907,320893
광주,135518,136356,139844,170599,170962,204601,215847,236054,244206,282372,271858,260487
대전,191125,189079,192226,208718,212777,221275,231027,264073,318374,358692,328057,314879
울산,208756,209375,212359,236793,239690,254520,242211,242980,273088,322302,301251,282482
세종,150162,155890,159657,189772,213401,283698,292269,325757,499069,652826,548235,529822
강원,115996,115714,116980,126890,128149,146953,144819,150091,156513,165025,165209,166509
충북,132752,134456,136517,138209,135604,146641,143842,145119,155418,195459,188953,186591
충남,130818,134367,139446,133031,131255,137953,136328,148451,159441,199868,193266,185218
전북,105860,104493,104599,115798,116197,141469,142162,143105,151362,155140,152792,153087
전남,85570,84132,84032,92318,94537,106895,109840,121399,125580,136450,133693,134681
경북,115200,120453,124738,127775,125863,131275,129265,131360,136393,153017,149901,149179
경남,160299,161315,165430,176034,175390,181339,172821,174132,184457,217185,208077,201790
제주,138045,138140,141829,188879,232247,273089,276714,305416,299845,283942,282026,270124
