지 역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
전국,6.5,6.4,6,5.9,5.5,5.2,5,4.7,4.2,3.8,3.7,3.8
서울,7.1,6.9,6.5,6.5,5.9,5.5,5.4,5,4.7,3.9,3.8,3.9
부산,5.8,5.9,5.4,5.3,4.9,4.5,4.3,4.1,3.6,3.3,3.2,3.1
대구,5.5,5.5,5.1,5.1,5,4.6,4.5,4.1,3.5,3.1,3.2,3.4
인천,6.5,6.4,6,5.9,5.5,5.2,5.1,4.6,4,3.7,3.7,3.9
광주,5.9,6,5.6,5.4,5.1,4.9,4.6,4.3,3.8,3.4,3.4,3.6
대전,6.5,6.3,6,5.8,5.5,5.1,5,4.5,4.1,3.7,3.9,3.6
울산,7,7,6.6,6.4,6,5.4,5.1,4.7,4.2,3.6,3.6,3.9
세종,6.1,6.4,6.7,8.2,7.1,6.6,6.9,6.2,5.3,4.5,4.4,4.4
경기,6.7,6.4,6.1,6,5.6,5.2,5.2,4.8,4.4,4.1,4,4
강원,5.4,5.2,5.1,5.1,4.9,4.7,4.6,4.4,3.8,3.7,3.6,3.6
충북,6,6,5.6,5.6,5.3,5,4.9,4.6,4.2,3.7,3.9,3.9
충남,6.4,6.2,5.9,6,5.7,5.2,5.2,4.7,4,3.8,3.8,3.9
전북,5.4,5.3,5,4.9,4.4,4.2,3.9,3.9,3.4,3,3,3.1
전남,5.2,5.3,4.9,4.9,4.5,4.3,4,4,3.4,3.4,3.4,3.4
경북,5.7,5.8,5.3,5.3,5,4.6,4.4,4,3.4,3.1,3.1,3.2
경남,6.1,6.1,5.7,5.6,5.3,4.8,4.5,4.1,3.6,3.2,3.2,3.1
제주,6.1,6.2,6,6,5.9,5.7,5.5,5.1,4.5,4,4,3.9
