지 역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
서울,93914,84066,83711,83005,75536,65389,58074,53673,47445,45531,42602,39400
경기,124746,112129,112169,113495,105643,94088,88175,83198,77737,76139,75323,68800
인천,27781,25560,25786,25491,23609,20445,20087,18522,16040,14947,14464,13700
부산,28673,25831,26190,26645,24906,21480,19152,17049,15058,14446,14134,12900
대구,21472,19340,19361,19438,18298,15946,14400,13233,11193,10661,10134,9400
광주,14392,12729,12729,12441,11580,10120,9105,8364,7318,7956,7446,6200
대전,15279,14099,13962,13774,12436,10851,9337,8410,7481,7414,7677,7200
울산,12160,11330,11556,11732,10910,9381,8149,7539,6617,6127,5399,5100
세종,1054,1111,1344,2708,3297,3504,3703,3819,3468,3570,3209,2800
강원,12426,10980,10662,10929,10058,8958,8351,8283,7835,7357,7278,6700
충북,15139,13658,13366,13563,12742,11394,10586,9333,8607,8190,7452,7600
충남,20448,18628,18200,18604,17302,15670,14380,13228,11950,10984,10221,9400
전북,16238,14555,14231,14087,12698,11348,10001,8971,8165,7475,7032,6600
전남,16990,15401,14817,15061,13980,12354,11238,10832,9738,8430,7888,7800
경북,24635,22206,22062,22310,20616,17957,16079,14472,12873,12045,11311,10200
경남,33211,29504,29763,29537,27138,23849,21224,19250,16823,15562,14017,13100
제주,5992,5328,5526,5600,5494,5037,4781,4500,3989,3728,3599,3200
